10.10.120.139, 2017-03-26 13:59:49, GET, /, HTTP/1.1, 303, 0.004000
10.10.120.139, 2017-03-26 13:59:50, GET, /welcome/default/index, HTTP/1.1, 200, 1.239000
10.10.120.139, 2017-03-26 13:59:55, GET, /admin/default/index, HTTP/1.1, 200, 0.141000
10.10.120.139, 2017-03-26 13:59:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 13:59:58, POST, /admin/default/index, HTTP/1.1, 303, 0.044000
10.10.120.139, 2017-03-26 13:59:58, GET, /admin/default/site, HTTP/1.1, 200, 0.055000
10.10.120.139, 2017-03-26 13:59:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:00:00, POST, /admin/default/check_version, HTTP/1.1, 200, 1.470000
10.10.120.139, 2017-03-26 14:00:23, POST, /admin/default/site, HTTP/1.1, 303, 2.373000
10.10.120.139, 2017-03-26 14:00:23, GET, /admin/default/site, HTTP/1.1, 200, 0.057000
10.10.120.139, 2017-03-26 14:00:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/default/index, HTTP/1.1, 200, 6.999000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/jquery.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/css/calendar.css, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/calendar.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.010000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/web2py.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/js/share.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/images/ugc_logo.jpeg, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/images/twitter.png, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/images/facebook.png, HTTP/1.1, 200, 0.002000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:37, GET, /UGC/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:00:50, GET, /UGC/default/upload_prob, HTTP/1.1, 200, 0.184000
10.10.120.139, 2017-03-26 14:01:18, POST, /UGC/default/upload_prob, HTTP/1.1, 200, 0.413000
10.10.120.139, 2017-03-26 14:01:33, GET, /UGC/default/upload_prob, HTTP/1.1, 200, 0.165000
10.10.120.139, 2017-03-26 14:01:41, GET, /admin, HTTP/1.1, 303, 0.012000
10.10.120.139, 2017-03-26 14:01:41, GET, /admin/default/site, HTTP/1.1, 200, 0.054000
10.10.120.139, 2017-03-26 14:01:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:01:49, GET, /admin/default/site, HTTP/1.1, 200, 0.058000
10.10.120.139, 2017-03-26 14:01:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:02:07, GET, /admin/default/design/UGC, HTTP/1.1, 200, 0.234000
10.10.120.139, 2017-03-26 14:02:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:02:49, GET, /UGC/appadmin/index, HTTP/1.1, 200, 0.145000
10.10.120.139, 2017-03-26 14:02:49, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.158000
10.10.120.139, 2017-03-26 14:02:56, GET, /UGC/appadmin/select/db, HTTP/1.1, 200, 0.136000
10.10.120.139, 2017-03-26 14:03:01, GET, /UGC/appadmin/index, HTTP/1.1, 200, 0.137000
10.10.120.139, 2017-03-26 14:03:01, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.189000
10.10.120.139, 2017-03-26 14:03:05, GET, /UGC/appadmin/select/db, HTTP/1.1, 200, 0.161000
10.10.120.139, 2017-03-26 14:06:44, GET, /UGC/appadmin/index, HTTP/1.1, 200, 0.133000
10.10.120.139, 2017-03-26 14:06:44, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.174000
10.10.120.139, 2017-03-26 14:06:49, GET, /admin/default/design/UGC, HTTP/1.1, 200, 0.145000
10.10.120.139, 2017-03-26 14:06:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:11:34, GET, /, HTTP/1.1, 303, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.015000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.015000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
